class,filename,path,url,data_origin,retrieved_date_of_issuance,issuing_authority,retrieved_topic,PDF_or_text
Circulers,TRI_SP07e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP07e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP07e.pdf,scraped,May 2009,TRI Circulers,Soil Analysis,PDF
Circulers,TRI_SP08e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP08e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP08e.pdf,scraped,May 2009,TRI Circulers,Analysis of Fertilizer Samples,PDF
Circulers,TRI_SP09e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP09e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP09e.pdf,scraped,May 2009,TRI Circulers,Sampling for Foliar Analysis of Tea,PDF
Circulers,TRI_Advisory_Circulars_SP_10e_Jul2016.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Circulars_SP_10e_Jul2016.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Circulars_SP_10e_Jul2016.pdf,scraped,July 2016,TRI Circulers,Fertilizer Recommendation for Mature Tea in Small Holdings,PDF
Circulers,TRI_PA01e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_PA01e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_PA01e.pdf,scraped,February 2001,TRI Circulers,Bringing Young Tea Into Bearing,PDF
Circulers,TRI_PA02e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_PA02e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_PA02e.pdf,scraped,January 2011,TRI Circulers,Drought Mitigation in Tea Plantations,PDF
Circulers,TRI_PA03e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_PA03e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_PA03e.pdf,scraped,September 2003,TRI Circulers,Infilling Vacancies in Tea Fields,PDF
Circulers,TRI_SI01e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SI01e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SI01e.pdf,scraped,September 2001,TRI Circulers,Green Manure Crops in Tea,PDF
Circulers,TRI_SI02e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SI02e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SI02e.pdf,scraped,March 2003,TRI Circulers,Shade in Tea,PDF
Circulers,TRI_SI03e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SI03e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SI03e.pdf,scraped,March 2003,TRI Circulers,Wind and Shelter Belts in Tea,PDF
Circulers,TRISL_Advisory_Circular_HP01e_Jun2013.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRISL_Advisory_Circular_HP01e_Jun2013.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRISL_Advisory_Circular_HP01e_Jun2013.pdf,scraped,June 2013,TRI Circulers,Pruning of Tea,PDF
Circulers,TRI_HP02e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_HP02e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_HP02e.pdf,scraped,March 2003,TRI Circulers,Guidelines on Plucking,PDF
Circulers,TRI_HP03e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_HP03e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_HP03e.pdf,scraped,September 2003,TRI Circulers,Cultivation of Tea Soils – Forking,PDF
Circulers,TRISL_Advisory_Circular_HP04e_Jun2013.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRISL_Advisory_Circular_HP04e_Jun2013.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRISL_Advisory_Circular_HP04e_Jun2013.pdf,scraped,June 2013,TRI Circulers,Rejuvenation Pruning,PDF
Circulers,Advisory_Circular_WM-1e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_WM-1e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_WM-1e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Integrated  Weed Management in Tea,PDF
Circulers,Rivision.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Rivision.pdf,https://www.tri.lk/wp-content/uploads/2020/02/Rivision.pdf,scraped,,TRI Circulers,Herbicide and Their use in Tea,PDF
Circulers,Rivision - 2.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Rivision - 2.pdf,https://www.tri.lk/wp-content/uploads/2020/02/Rivision.pdf,scraped,,TRI Circulers,Safe and  Effective use  of Herbicides,PDF
Circulers,Advisory_Circular_PM-1e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-1e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-1e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Sampling for Shot – Hole Borer Assessment,PDF
Circulers,Advisory_Circular_PM-2e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-2e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-2e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Management of Shot – Hole Borer,PDF
Circulers,Advisory_Circular_PM-3e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-3e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-3e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Management Low Country Live-Wood Termites,PDF
Circulers,Advisory_Circular_PM-4e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-4e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-4e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Young Tea from Nematodes,PDF
Circulers,Advisory_Circular_PM-5e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-5e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-5e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Sampling for Nematode Analysis,PDF
Circulers,Advisory_Circular_PM-6e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-6e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-6e_2024.pdf,scraped,February 2024 (new),TRI Circulers,Mite Control,PDF
Circulers,Advisory_Circular_PM-7e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-7e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-7e_2024.pdf,scraped,February 2024 (new),TRI Circulers,Control of White Grubs,PDF
Circulers,Advisory_Circular_PM-8e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-8e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-8e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Measures to avoid Contamination of Nursery Plants with Nematodes through Irrigation Water,PDF
Circulers,Advisory_Circular_PM-9e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-9e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-9e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Management of Up Country Live-Wood Termites,PDF
Circulers,Rivision - 3.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Rivision - 3.pdf,https://www.tri.lk/wp-content/uploads/2020/02/Rivision.pdf,scraped,,TRI Circulers,Management of Tea Tortrix (Homona coffearia Neitner),PDF
Circulers,Advisory_Circular_PM-11e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-11e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-11e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Fumigation of Nursery Soils for Nematode Eradication,PDF
Circulers,Advisory_Circular_PM-12e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PM-12e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_PM-12e_2024.pdf,scraped,February 2024 (New),TRI Circulers,"Uprooting, Rehabilitation and Replanting of Nematode Infested Tea Lands",PDF
Circulers,Advisory_Circular_DM1e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM1e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM1e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Tea from Blister Blight,PDF
Circulers,Advisory_Circular_DM2e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM2e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM2e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Tea from Root Disease,PDF
Circulers,Rivision - 4.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Rivision - 4.pdf,https://www.tri.lk/wp-content/uploads/2020/02/Rivision.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Tea from Black Blight Disease in the Low Country,PDF
Circulers,Advisory_Circular_DM4e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM4e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM4e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Tea from Red Rust Disease in the Low Country,PDF
Circulers,Advisory_Circular_DM5e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM5e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM5e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Protection of Tea from Stem and Branch Canker Disease in the Low Country,PDF
Circulers,Advisory_Circular_DM6e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM6e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM6e_2024.pdf,scraped,February 2024 (new),TRI Circulers,Protection of Tea from Collar and Brach Canker Disease,PDF
Circulers,Advisory_Circular_DM7e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_DM7e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/03/Advisory_Circular_DM7e_2024.pdf,scraped,February 2024 (new),TRI Circulers,Management of Horse-Hair Blight in Tea,PDF
Circulers,Advisory-Circular_PT-1e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory-Circular_PT-1e.pdf,https://www.tri.lk/wp-content/uploads/2024/06/Advisory-Circular_PT-1e.pdf,scraped,September 2003,TRI Circulers,Trough – Withering of Tea,PDF
Circulers,TRI_Advisory_Ciculars_PT_03.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_PT_03.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PT_03.pdf,scraped,September 2003,TRI Circulers,Manufacture of Tea by the CTC Process,PDF
Circulers,TRI_Advisory_Ciculars_PT_05.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_PT_05.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PT_05.pdf,scraped,September 2003,TRI Circulers,Calibration of Infra – Red  Moisture Meter,PDF
Circulers,TRI_Advisory_Ciculars_PT_06.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_PT_06.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PT_06.pdf,scraped,March 2004,TRI Circulers,Moisture Levels of Black Tea,PDF
Circulers,TRI_Advisory_Circular_PU1e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Circular_PU1e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/02/TRI_Advisory_Circular_PU1e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Pesticide (Plant Protection Product) use in Tea Fields,PDF
Circulers,TRI_Advisory_Circular_PU2e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Circular_PU2e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/02/TRI_Advisory_Circular_PU2e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Chemical Control of Diseases,PDF
Circulers,TRI_Advisory_Circular_PU3e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Circular_PU3e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/02/TRI_Advisory_Circular_PU3e_2024.pdf,scraped,February 2024 (New),TRI Circulers,Chemical Control of Weeds in Tea Lands,PDF
Circulers,Advisory_Circular_PU4e_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PU4e_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/06/Advisory_Circular_PU4e_2024.pdf,scraped,March 2024 (New),TRI Circulers,"Chemical Control of Insect, Mite and Nematode Pests",PDF
Circulers,TRI_AC_S_SP11.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_AC_S_SP11.pdf,https://www.tri.lk/wp-content/uploads/2022/09/TRI_AC_S_SP11.pdf,scraped,August 2022,TRI Circulers,තේ වගාවේ තිරසාර ඵලදායීතාවය උදෙසා ශාක පෝෂණය හා පාංශු සාරවත් බව සුරක්ෂිත කිරීමේ ඒ්කාබද්ධ කළමණාකරණ ක්‍රමවේදයන්,PDF
Circulers,Advisory_Circular_PU1s_2024.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\Advisory_Circular_PU1s_2024.pdf,https://www.tri.lk/wp-content/uploads/2024/11/Advisory_Circular_PU1s_2024.pdf,scraped,පෙබරවාරි 2024 (අළුත්),TRI Circulers,තේ ඉඩම්වවල භාවිතයට නිර්දේශ කරන පළිබෝධ නාශක (පැළෑටි ආරක්ෂණ නිෂ්පාදන),PDF
Guideline,TRISL_Guideline_01_2018_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_01_2018_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_01_2018_E.pdf,scraped,November 2018,TRI Guideline,"Use of ""Soil Quality Index"" SQI for Decision Making in Soil Rehabilitation Prior to Replanting",PDF
Guideline,TRISL_Guideline_02_2018_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_02_2018_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_02_2018_E.pdf,scraped,December 2018,TRI Guideline,Guidelines on the Use of CO-3 Grass (Hybrid Napier) for Soil Rehabilitation before Replanting of Tea in the Low Country,PDF
Guideline,TRISL_Guideline_03_2018_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_03_2018_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_03_2018_E.pdf,scraped,December 2018,TRI Guideline,Guideline for Cleft Grafting in Tea Nurseries,PDF
Guideline,TRISL_Guideline_04_2018_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_04_2018_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_04_2018_E.pdf,scraped,December 2018,TRI Guideline,Guidelines for Establishment of Energy Plantations with Gliricidia Sepium and Calliandra Calothrysus,PDF
Guideline,TRISL_Guideline_05_2018_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_05_2018_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_05_2018_E.pdf,scraped,December 2018,TRI Guideline,Guideline on Irrigation of Tea Fields,PDF
Guideline,TRISL_Guideline_01_2019_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_01_2019_E.pdf,https://www.tri.lk/wp-content/uploads/2023/07/TRISL_Guideline_01_2019_E.pdf,scraped,July 2019,TRI Guideline,Guidelines on Adaptation Strategies to Minimize Climate Change Impacts on Tea Production,PDF
Guideline,TRISL_Guideline_02_2019e_Dec2019.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_02_2019e_Dec2019.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRISL_Guideline_02_2019e_Dec2019.pdf,scraped,December 2019,TRI Guideline,Use of Motorized Tea Pruning Machines,PDF
Guideline,TRISL_Guideline_03_2019e_Dec2019.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_03_2019e_Dec2019.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRISL_Guideline_03_2019e_Dec2019.pdf,scraped,December 2019,TRI Guideline,Guideline for Establishment of Tea to Facilitate Mechanization of Field Operations,PDF
Guideline,TRISL_Guideline_01_2020_E.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_01_2020_E.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_01_2020_E.pdf,scraped,April 2020,TRI Guideline,Guidelines on Measures to be Adopted in Tea Lands following a Drought (English),PDF
Guideline,TRISL_Guideline_01_2020_S.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_01_2020_S.pdf,https://www.tri.lk/wp-content/uploads/2023/05/TRISL_Guideline_01_2020_S.pdf,scraped,April 2020,TRI Guideline,Guidelines on Measures to be Adopted in Tea Lands following a Drought (Sinhala),PDF
Guideline,guidelines_on_covid-19_in_tea_plantations_eng_pdf.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\guidelines_on_covid-19_in_tea_plantations_eng_pdf.pdf,https://www.tri.lk/wp-content/uploads/2020/05/guidelines_on_covid-19_in_tea_plantations_eng_pdf.pdf,scraped,May 2020,TRI Guideline,Guidelines on Prevention and Control of Spread of Covid-19 in Tea Plantations,PDF
Guideline,GL_01_2021_Sinhala.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\GL_01_2021_Sinhala.pdf,https://www.tri.lk/wp-content/uploads/2021/06/GL_01_2021_Sinhala.pdf,scraped,June 2021,TRI Guideline,Guidelines for Production and Usage of Compost Fertilizer (Sinhala),PDF
Guideline,TRISL_Guideline_02_2021e_Aug2021Intercropping.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_02_2021e_Aug2021Intercropping.pdf,https://www.tri.lk/wp-content/uploads/2021/08/TRISL_Guideline_02_2021e_Aug2021Intercropping.pdf,scraped,August 2021,TRI Guideline,Guideline on Tea and Coconut Intercropping,PDF
Guideline,TRISL_Guideline_03_2021e_Aug2021_Rotorvanes.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_03_2021e_Aug2021_Rotorvanes.pdf,https://www.tri.lk/wp-content/uploads/2021/08/TRISL_Guideline_03_2021e_Aug2021_Rotorvanes.pdf,scraped,August 2021,TRI Guideline,Industry Guidelines for Copper Alloy Cast Components in Rotorvanes,PDF
Guideline,TRISL_Guideline_04_2021e_Dec2021_StrategicCostManagement.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_04_2021e_Dec2021_StrategicCostManagement.pdf,https://www.tri.lk/wp-content/uploads/2022/01/TRISL_Guideline_04_2021e_Dec2021_StrategicCostManagement.pdf,scraped,December 2021,TRI Guideline,Interim Guidelines on Strategic Cost Component Management in Tea Cultivation with Special Reference to Rational Use of Plant Nutrients and Tea Manufacture (English),PDF
Guideline,TRISL_Guideline_04_2021s_Dec2021_StrategicCostManagement.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_04_2021s_Dec2021_StrategicCostManagement.pdf,https://www.tri.lk/wp-content/uploads/2022/03/TRISL_Guideline_04_2021s_Dec2021_StrategicCostManagement.pdf,scraped,December 2021,TRI Guideline,Interim Guidelines on Strategic Cost Component Management in Tea Cultivation with Special Reference to Rational Use of Plant Nutrients and Tea Manufacture (Sinhala),PDF
Guideline,TRISL_Guideline_04_2021t_Dec2021_StrategicCostManagement.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_04_2021t_Dec2021_StrategicCostManagement.pdf,https://www.tri.lk/wp-content/uploads/2022/03/TRISL_Guideline_04_2021t_Dec2021_StrategicCostManagement.pdf,scraped,December 2021,TRI Guideline,Interim Guidelines on Strategic Cost Component Management in Tea Cultivation with Special Reference to Rational Use of Plant Nutrients and Tea Manufacture (Tamil),PDF
Guideline,TRISL_Guideline_02_2023_S.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Guideline\TRISL_Guideline_02_2023_S.pdf,https://www.tri.lk/wp-content/uploads/2023/10/TRISL_Guideline_02_2023_S.pdf,scraped,2023 ඔක්තෝබර්,TRI Guideline,ඒකාබද්ධ ශාක පෝෂක කළමනාකරණය උදෙසා අතිරේක කෘෂි යෙදවුම්,PDF
